lat,lon,val,elevation_,soil
41.24996617567568,-97.15132064864865,2.5335714798328468e-08,1626.90288,"Butler silt loam, 0 to 1 percent slopes"
41.24996617567568,-97.15074797297298,2.481043589265004e-08,1626.4435600000004,"Butler silt loam, 0 to 1 percent slopes"
41.24996617567568,-97.15017529729731,2.3584856993927568e-08,1626.31234,"Butler silt loam, 0 to 1 percent slopes"
41.25001535135135,-97.15189332432432,8.803038052798623e-08,1625.72176,"Butler silt loam, 0 to 1 percent slopes"
41.25001535135135,-97.15132064864865,8.889408730858427e-08,1626.90288,"Butler silt loam, 0 to 1 percent slopes"
41.25001535135135,-97.15074797297298,8.710666614652956e-08,1626.4435600000004,"Butler silt loam, 0 to 1 percent slopes"
41.25001535135135,-97.15017529729731,8.286174261220795e-08,1626.31234,"Butler silt loam, 0 to 1 percent slopes"
41.25001535135135,-97.14960262162165,7.654957124699241e-08,1625.3936800000001,"Butler silt loam, 0 to 1 percent slopes"
41.25006452702703,-97.15189332432432,2.976769907534831e-07,1625.72176,"Butler silt loam, 0 to 1 percent slopes"
41.25006452702703,-97.15132064864865,3.007759201391882e-07,1626.90288,"Butler silt loam, 0 to 1 percent slopes"
41.25006452702703,-97.15074797297298,2.949217561293549e-07,1626.4435600000004,"Butler silt loam, 0 to 1 percent slopes"
41.25006452702703,-97.15017529729731,2.807516264656829e-07,1626.31234,"Butler silt loam, 0 to 1 percent slopes"
41.25006452702703,-97.14960262162165,2.595676277689834e-07,1625.3936800000001,"Butler silt loam, 0 to 1 percent slopes"
41.25006452702703,-97.14902994594595,2.331421096046748e-07,1624.73752,"Butler silt loam, 0 to 1 percent slopes"
41.25006452702703,-97.14845727027028,2.0348113451452233e-07,1628.4776599999998,"Butler silt loam, 0 to 1 percent slopes"
41.250113702702706,-97.15189332432432,9.707017887536323e-07,1625.72176,"Butler silt loam, 0 to 1 percent slopes"
41.250113702702706,-97.15132064864865,9.814054387231555e-07,1626.90288,"Butler silt loam, 0 to 1 percent slopes"
41.250113702702706,-97.15074797297298,9.62954741884972e-07,1626.4435600000004,"Butler silt loam, 0 to 1 percent slopes"
41.250113702702706,-97.15017529729731,9.173681953907488e-07,1626.31234,"Butler silt loam, 0 to 1 percent slopes"
41.250113702702706,-97.14960262162165,8.488326241555644e-07,1625.3936800000001,"Butler silt loam, 0 to 1 percent slopes"
41.250113702702706,-97.14902994594595,7.63077495258478e-07,1624.73752,"Butler silt loam, 0 to 1 percent slopes"
41.250113702702706,-97.14845727027028,6.666110976093911e-07,1628.4776599999998,"Butler silt loam, 0 to 1 percent slopes"
41.250113702702706,-97.14788459459459,5.659528944630447e-07,1628.54328,"Butler silt loam, 0 to 1 percent slopes"
41.250162878378376,-97.15189332432432,3.0525223034269106e-06,1625.72176,"Butler silt loam, 0 to 1 percent slopes"
41.250162878378376,-97.15132064864865,3.088119529809501e-06,1626.90288,"Butler silt loam, 0 to 1 percent slopes"
41.250162878378376,-97.15074797297298,3.0321742503087367e-06,1626.4435600000004,"Butler silt loam, 0 to 1 percent slopes"
41.250162878378376,-97.15017529729731,2.890842421614829e-06,1626.31234,"Butler silt loam, 0 to 1 percent slopes"
41.250162878378376,-97.14960262162165,2.677097393200577e-06,1625.3936800000001,"Butler silt loam, 0 to 1 percent slopes"
41.250162878378376,-97.14902994594595,2.4087925157897597e-06,1624.73752,"Butler silt loam, 0 to 1 percent slopes"
41.250162878378376,-97.14845727027028,2.1062838927828673e-06,1628.4776599999998,"Butler silt loam, 0 to 1 percent slopes"
41.250162878378376,-97.14788459459459,1.7900305223143638e-06,1628.54328,"Butler silt loam, 0 to 1 percent slopes"
41.250162878378376,-97.14731191891892,1.4785262823790658e-06,1628.54328,"Butler silt loam, 0 to 1 percent slopes"
41.250162878378376,-97.14673924324323,1.186801669639289e-06,1628.54328,"Butler silt loam, 0 to 1 percent slopes"
41.250212054054046,-97.15189332432432,9.256976926641341e-06,1625.72176,"Butler silt loam, 0 to 1 percent slopes"
41.250212054054046,-97.15132064864865,9.37098746468812e-06,1626.90288,"Butler silt loam, 0 to 1 percent slopes"
41.250212054054046,-97.15074797297298,9.207836362022622e-06,1626.4435600000004,"Butler silt loam, 0 to 1 percent slopes"
41.250212054054046,-97.15017529729731,8.785593047149644e-06,1626.31234,"Butler silt loam, 0 to 1 percent slopes"
41.250212054054046,-97.14960262162165,8.142994140953935e-06,1625.3936800000001,"Butler silt loam, 0 to 1 percent slopes"
41.250212054054046,-97.14902994594595,7.333663047827911e-06,1624.73752,"Butler silt loam, 0 to 1 percent slopes"
41.250212054054046,-97.14845727027028,6.418979161841888e-06,1628.4776599999998,"Butler silt loam, 0 to 1 percent slopes"
41.250212054054046,-97.14788459459459,5.460845769473918e-06,1628.54328,"Butler silt loam, 0 to 1 percent slopes"
41.250212054054046,-97.14731191891892,4.515423757992549e-06,1628.54328,"Butler silt loam, 0 to 1 percent slopes"
41.250212054054046,-97.14673924324323,3.6285548334976685e-06,1628.54328,"Butler silt loam, 0 to 1 percent slopes"
41.250212054054046,-97.14616656756758,2.8331997361258184e-06,1627.9527400000004,"Butler silt loam, 0 to 1 percent slopes"
41.250212054054046,-97.14559389189188,2.148850784521864e-06,1627.9527400000004,"Butler silt loam, 0 to 1 percent slopes"
41.250261229729716,-97.15189332432432,2.7072104401261244e-05,1625.72176,"Butler silt loam, 0 to 1 percent slopes"
41.250261229729716,-97.15132064864865,2.7423820276410474e-05,1626.90288,"Butler silt loam, 0 to 1 percent slopes"
