lat,lon,val,elevation_,soil
41.264840824324324,-97.12817654054057,10.372952223993886,1650.0,"Hastings silt loam, 0 to 1 percent slopes"
41.264840824324324,-97.12814731081082,14.147091536854214,1650.0,"Hastings silt loam, 0 to 1 percent slopes"
41.264840824324324,-97.12811808108108,18.608859043699947,1650.0,"Hastings silt loam, 0 to 1 percent slopes"
41.26488364864865,-97.12820577027028,7.710974272249618,1650.32808,"Hastings silt loam, 0 to 1 percent slopes"
41.26488364864865,-97.12817654054057,10.936595365821452,1650.32808,"Hastings silt loam, 0 to 1 percent slopes"
41.26488364864865,-97.12814731081082,14.96250799353263,1650.32808,"Hastings silt loam, 0 to 1 percent slopes"
41.26488364864865,-97.12811808108108,19.75055228471236,1650.06562,"Hastings silt loam, 0 to 1 percent slopes"
41.26488364864865,-97.12808885135135,25.162083364393453,1650.06562,"Hastings silt loam, 0 to 1 percent slopes"
41.264926472972974,-97.12820577027028,7.956287310655163,1650.32808,"Hastings silt loam, 0 to 1 percent slopes"
41.264926472972974,-97.12817654054057,11.319874949739114,1650.32808,"Hastings silt loam, 0 to 1 percent slopes"
41.264926472972974,-97.12814731081082,15.539871868844232,1650.32808,"Hastings silt loam, 0 to 1 percent slopes"
41.264926472972974,-97.12811808108108,20.58925172815354,1650.32808,"Hastings silt loam, 0 to 1 percent slopes"
41.264926472972974,-97.12808885135135,26.33715654283596,1650.32808,"Hastings silt loam, 0 to 1 percent slopes"
41.264926472972974,-97.12805962162165,32.540449391384485,1650.32808,"Hastings silt loam, 0 to 1 percent slopes"
41.264926472972974,-97.1280303918919,38.85508575141128,1650.32808,"Hastings silt loam, 0 to 1 percent slopes"
41.2649692972973,-97.12820577027028,8.090423837843451,1650.5249199999996,"Hastings silt loam, 0 to 1 percent slopes"
41.2649692972973,-97.12817654054057,11.549823415169294,1650.32808,"Hastings silt loam, 0 to 1 percent slopes"
41.2649692972973,-97.12814731081082,15.912730107911049,1650.32808,"Hastings silt loam, 0 to 1 percent slopes"
41.2649692972973,-97.12811808108108,21.163629603538304,1650.52494,"Hastings silt loam, 0 to 1 percent slopes"
41.2649692972973,-97.12808885135135,27.18027167026925,1650.52494,"Hastings silt loam, 0 to 1 percent slopes"
41.2649692972973,-97.12805962162165,33.72217769566714,1650.52494,"Hastings silt loam, 0 to 1 percent slopes"
41.2649692972973,-97.1280303918919,40.43902125097671,1650.52494,"Hastings silt loam, 0 to 1 percent slopes"
41.2649692972973,-97.12800116216215,46.90142382437615,1650.52494,"Hastings silt loam, 0 to 1 percent slopes"
41.265012121621616,-97.12820577027028,8.147929966992526,1650.72178,"Hastings silt loam, 0 to 1 percent slopes"
41.265012121621616,-97.12817654054057,11.67295470049718,1650.72178,"Hastings silt loam, 0 to 1 percent slopes"
41.265012121621616,-97.12814731081082,16.14070251698724,1650.72178,"Hastings silt loam, 0 to 1 percent slopes"
41.265012121621616,-97.12811808108108,21.546123247146195,1650.7874,"Hastings silt loam, 0 to 1 percent slopes"
41.265012121621616,-97.12808885135135,27.7743063317246,1650.7874,"Hastings silt loam, 0 to 1 percent slopes"
41.265012121621616,-97.12805962162165,34.585778720797656,1650.7874,"Hastings silt loam, 0 to 1 percent slopes"
41.265012121621616,-97.1280303918919,41.621834370174156,1650.7874,"Hastings silt loam, 0 to 1 percent slopes"
41.265012121621616,-97.12800116216215,48.43341457809715,1650.6561800000002,"Hastings silt loam, 0 to 1 percent slopes"
41.265012121621616,-97.12797193243244,54.53144580418154,1650.6561800000002,"Hastings silt loam, 0 to 1 percent slopes"
41.265012121621616,-97.12794270270271,59.45050020912874,1650.6561800000002,"Hastings silt loam, 0 to 1 percent slopes"
41.265054945945955,-97.12820577027028,8.172166568462401,1650.9842399999998,"Hastings silt loam, 0 to 1 percent slopes"
41.265054945945955,-97.12817654054057,11.748241436832476,1650.9842399999998,"Hastings silt loam, 0 to 1 percent slopes"
41.265054945945955,-97.12814731081082,16.30058553870032,1650.8530199999998,"Hastings silt loam, 0 to 1 percent slopes"
41.265054945945955,-97.12811808108108,21.83234464593517,1650.8530199999998,"Hastings silt loam, 0 to 1 percent slopes"
41.265054945945955,-97.12808885135135,28.23283397025925,1650.8530199999998,"Hastings silt loam, 0 to 1 percent slopes"
41.265054945945955,-97.12805962162165,35.259604987960174,1650.8530199999998,"Hastings silt loam, 0 to 1 percent slopes"
41.265054945945955,-97.1280303918919,42.54096945428499,1650.8530199999998,"Hastings silt loam, 0 to 1 percent slopes"
41.265054945945955,-97.12800116216215,49.60358512114333,1650.8530199999998,"Hastings silt loam, 0 to 1 percent slopes"
41.265054945945955,-97.12797193243244,55.9240264054826,1650.8530199999998,"Hastings silt loam, 0 to 1 percent slopes"
41.265054945945955,-97.12794270270271,60.996738031535074,1650.7218,"Hastings silt loam, 0 to 1 percent slopes"
41.265054945945955,-97.12791347297298,64.40548314664363,1650.59058,"Hastings silt loam, 0 to 1 percent slopes"
41.265054945945955,-97.12788424324323,65.88331091484804,1650.59058,"Hastings silt loam, 0 to 1 percent slopes"
41.265097770270266,-97.12820577027028,8.208944775744486,1650.9842399999998,"Hastings silt loam, 0 to 1 percent slopes"
41.265097770270266,-97.12817654054057,11.838529387313164,1650.9842399999998,"Hastings silt loam, 0 to 1 percent slopes"
41.265097770270266,-97.12814731081082,16.47532499914885,1650.9842399999998,"Hastings silt loam, 0 to 1 percent slopes"
41.265097770270266,-97.12811808108108,22.127647924192637,1650.9842399999998,"Hastings silt loam, 0 to 1 percent slopes"
