,lat,lon,val,elevation_,soil
0,41.254001378378376,-97.13816883783785,5.781057215797587,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
1,41.254001378378376,-97.13814175675677,5.882783031336873,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
2,41.254001378378376,-97.13811467567568,5.827190135810815,1624.27822,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
3,41.254014756756746,-97.13819591891891,8.199873766753559,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
4,41.254014756756746,-97.13816883783785,8.57576984973857,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
5,41.254014756756746,-97.13814175675677,8.724401506917474,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
6,41.254014756756746,-97.13811467567568,8.642045596062676,1624.27822,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
7,41.254014756756746,-97.1380875945946,8.342411296171203,1624.2782199999995,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
8,41.254028135135144,-97.13819591891891,11.726185658934293,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
9,41.254028135135144,-97.13816883783785,12.25325981469758,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
10,41.254028135135144,-97.13814175675677,12.457885627448055,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
11,41.254028135135144,-97.13811467567568,12.336314572958262,1624.27822,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
12,41.254028135135144,-97.1380875945946,11.909181434348584,1624.2782199999995,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
13,41.254028135135144,-97.13806051351351,11.216597191695707,1624.2782199999995,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
14,41.254028135135144,-97.13803343243242,10.311595206076847,1624.6719400000004,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
15,41.254041513513506,-97.13819591891891,16.155714537463492,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
16,41.254041513513506,-97.13816883783785,16.859732238311892,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
17,41.254041513513506,-97.13814175675677,17.12306697329435,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
18,41.254041513513506,-97.13811467567568,16.943622769179896,1624.27822,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
19,41.254041513513506,-97.1380875945946,16.35203690995039,1624.2782199999995,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
20,41.254041513513506,-97.13806051351351,15.404530577666295,1624.67194,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
21,41.254041513513506,-97.13803343243242,14.173825855432133,1624.6719400000004,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
22,41.254041513513506,-97.13800635135135,12.739899799626832,1624.4751,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
23,41.25405489189189,-97.13819591891891,21.441973628863558,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
24,41.25405489189189,-97.13816883783785,22.33445884664521,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
25,41.25405489189189,-97.13814175675677,22.64690320505523,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
26,41.25405489189189,-97.13811467567568,22.382062922256985,1624.27822,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
27,41.25405489189189,-97.1380875945946,21.584831779166684,1624.2782199999995,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
28,41.25405489189189,-97.13806051351351,20.3319827315032,1624.67194,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
29,41.25405489189189,-97.13803343243242,18.7198474578512,1624.6719400000004,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
30,41.25405489189189,-97.13800635135135,16.852413981472953,1624.4751,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
31,41.25405489189189,-97.13797927027026,14.831297785498792,1624.4751,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
32,41.25405489189189,-97.1379521891892,12.747854309619894,1624.4751,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
33,41.254068270270274,-97.13819591891891,27.41180513570324,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
34,41.254068270270274,-97.13816883783785,28.4798303778443,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
35,41.254068270270274,-97.13814175675677,28.812671878632997,1625.19686,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
36,41.254068270270274,-97.13811467567568,28.42323244760844,1624.27822,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
37,41.254068270270274,-97.1380875945946,27.376375000575386,1624.2782199999995,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
38,41.254068270270274,-97.13806051351351,25.77443466070539,1624.67194,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
39,41.254068270270274,-97.13803343243242,23.740837629633397,1624.6719400000004,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
40,41.254068270270274,-97.13800635135135,21.405217190593238,1624.4751,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
41,41.254068270270274,-97.13797927027026,18.89188811557664,1624.4751,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
42,41.254068270270274,-97.1379521891892,16.311814010718994,1622.7034199999998,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
