county_id,id,year,yield
2699,1,2013,185.7
323,2,2013,220.0
630,3,2013,192.9
513,4,2013,205.0
1094,5,2013,188.0
647,6,2013,157.1
2304,7,2013,147.0
2629,8,2013,202.7
2634,9,2013,168.4
2664,10,2013,196.2
251,11,2013,180.6
3210,12,2013,175.5
2494,13,2013,189.4
1006,14,2013,209.1
284,15,2013,149.7
2948,16,2013,159.6
2441,17,2013,198.6
1716,18,2013,203.5
3071,19,2013,209.0
521,20,2013,186.2
1802,21,2013,194.5
2793,22,2013,179.2
3214,23,2013,207.2
1158,24,2013,195.8
3203,25,2013,200.9
422,26,2013,211.4
1499,27,2013,217.0
3072,28,2013,209.6
4,29,2013,192.2
1529,30,2013,212.4
1204,31,2013,197.5
1908,32,2013,208.9
2111,33,2013,201.8
2527,34,2013,188.9
2693,35,2013,212.8
2503,36,2013,213.4
676,37,2013,179.3
3228,38,2013,181.1
1451,39,2013,182.0
78,40,2013,197.4
742,41,2013,202.2
1848,42,2013,200.1
313,43,2013,204.1
1594,44,2013,201.1
368,45,2013,210.5
2950,46,2013,202.2
631,47,2013,230.1
3154,48,2013,206.0
242,49,2013,209.1
1523,50,2013,204.0
2211,51,2013,200.8
1326,52,2013,212.5
1550,53,2013,166.4
1218,54,2013,116.0
2620,55,2013,160.7
1022,56,2013,150.8
914,57,2013,198.9
2231,58,2013,186.3
517,59,2013,154.0
262,60,2013,201.1
2676,61,2013,184.6
960,62,2013,208.1
607,63,2013,210.4
591,64,2013,199.3
2584,65,2013,165.9
2486,66,2013,211.7
286,67,2013,201.8
109,68,2013,198.5
307,69,2013,199.4
1092,70,2013,228.1
5,71,2013,198.4
2745,72,2013,205.5
2957,73,2013,206.9
2408,74,2013,197.3
131,75,2013,178.9
3075,76,2013,180.8
1726,77,2013,175.5
972,78,2013,156.5
606,79,2013,193.7
338,80,2013,183.9
576,81,2013,195.6
1644,82,2013,168.6
129,83,2013,148.2
2448,84,2013,152.1
2735,85,2013,145.8
2485,86,2013,120.4
1178,87,2013,128.1
238,88,2012,138.8
53,89,2012,159.0
2556,90,2012,133.7
1461,91,2012,143.9
455,92,2012,205.4
1448,93,2012,166.4
982,94,2012,153.3
860,95,2012,174.9
2353,96,2012,163.9
1004,97,2012,157.9
2452,98,2012,150.0
1372,99,2012,168.8
1367,100,2012,175.0
218,101,2012,176.6
219,102,2012,155.6
2320,103,2012,146.7
323,104,2012,200.0
1094,105,2012,163.4
1340,106,2012,155.4
647,107,2012,149.3
483,108,2012,181.4
2305,109,2012,160.9
2634,110,2012,168.6
2462,111,2012,153.3
2664,112,2012,188.7
251,113,2012,151.0
3100,114,2012,156.3
3210,115,2012,160.7
2494,116,2012,162.9
1625,117,2012,132.1
2437,118,2012,198.7
1006,119,2012,181.8
1544,120,2012,192.0
284,121,2012,129.2
847,122,2012,163.6
2138,123,2012,188.5
226,124,2012,147.4
711,125,2012,147.8
2948,126,2012,141.3
2441,127,2012,210.3
1121,128,2012,189.5
1716,129,2012,192.5
3071,130,2012,190.6
