code,county_id,elevation,id,lat,lon,name,state_abbr
049087,2648,71.6,102,33.7025,-117.7539,TUSTIN IRVINE RCH,CA
049122,1352,193.9,103,39.1467,-123.2103,UKIAH,CA
049200,1443,33.5,104,38.3956,-121.9608,VACAVILLE,CA
049452,1828,105.2,105,35.5975,-119.3531,WASCO,CA
049490,1312,599.8,106,40.7222,-122.9331,WEAVERVILLE,CA
049699,3148,71.0,107,39.5231,-122.3058,WILLOWS 6 W,CA
049855,1079,1224.7,108,37.75,-119.5897,YOSEMITE PARK HQ,CA
049866,3007,800.1,109,41.7036,-122.6408,YREKA,CA
050848,1010,1671.5,110,39.9919,-105.2667,BOULDER,CO
051294,1118,1635.6,111,38.46,-105.2256,CANON CITY,CO
051528,935,2097.0,112,39.2203,-105.2783,CHEESMAN,CO
051564,53,1295.4,113,38.8236,-102.3486,CHEYENNE WELLS,CO
051741,534,1822.7,114,39.2425,-107.9631,COLLBRAN,CO
052184,2221,2396.9,115,37.6742,-106.3247,DEL NORTE 2E,CO
052281,939,2763.0,116,39.6261,-106.0353,DILLON 1 E,CO
052446,2894,1284.7,117,38.4775,-102.7808,EADS,CO
053005,2062,1525.2,118,40.6147,-105.1314,FT COLLINS,CO
053038,1420,1328.6,119,40.26,-103.8156,FT MORGAN,CO
053146,534,1378.9,120,39.1653,-108.7331,FRUITA,CO
053662,2923,2323.8,121,38.5258,-106.9675,GUNNISON 3SW,CO
053951,244,2757.8,122,37.7717,-107.1097,HERMIT 7 ESE,CO
054076,811,1033.3,123,38.0494,-102.1236,HOLLY,CO
054770,811,1105.5,124,38.0936,-102.6306,LAMAR,CO
054834,1775,1185.7,125,38.0636,-103.2153,LAS ANIMAS,CO
055322,2864,2343.9,126,37.1742,-105.9392,MANASSA,CO
055722,1025,1764.5,127,38.4858,-107.8792,MONTROSE #2,CO
057167,278,1271.0,128,38.0392,-103.6933,ROCKY FORD 2 SE,CO
057337,16,2347.3,129,38.0858,-106.1444,SAGUACHE,CO
057936,1928,2094.0,130,40.4883,-106.8233,STEAMBOAT SPRINGS,CO
058204,1030,2643.2,131,37.9492,-107.8733,TELLURIDE 4WNW,CO
058429,3160,1837.9,132,37.1786,-104.4869,TRINIDAD,CO
059243,455,1121.7,133,40.0583,-102.2189,WRAY,CO
062658,2363,167.6,134,41.95,-73.3667,FALLS VILLAGE,CT
063207,1060,12.2,135,41.3506,-72.0394,GROTON,CT
067970,398,57.9,136,41.1247,-73.5475,STAMFORD 5 N,CT
068138,1566,198.1,137,41.795,-72.2283,STORRS,CT
072730,2913,9.1,138,39.2583,-75.5167,DOVER,DE
