id,lat,lon,name,state_id
503,29.6747550597811,-82.3577014892123,Alachua,2
504,37.2243025441843,-78.4410831318545,Prince Edward,52
505,39.6481744990483,-110.5889834083,Carbon,24
506,40.3369445571841,-75.1068653817701,Bucks,19
507,44.5477769818719,-99.0049367334867,Hand,50
508,41.3433818658506,-77.0645062247274,Lycoming,19
509,46.8161275008055,-116.711679796963,Latah,7
510,33.3217673625038,-83.3728413608748,Putnam,22
511,35.0216997380651,-77.3552579614045,Jones,9
512,40.452599049441,-92.1470474590602,Scotland,45
513,39.7834476080113,-96.0141016608272,Nemaha,47
514,39.7843853310366,-99.9034768781373,Norton,47
516,18.4415661248202,-66.1388410986448,Cataño,49
571,34.2654393578556,-78.6550964165132,Columbus,9
572,38.8246748777421,-82.3169098946785,Gallia,25
573,32.3014719986919,-99.8901220968617,Taylor,26
574,37.2650351230144,-77.3968999145912,Colonial Heights,52
575,40.3016413763676,-81.9200107289818,Coshocton,25
576,40.8509414102944,-101.649613260342,Perkins,18
577,28.5561707624342,-82.4684891865255,Hernando,2
578,30.1477727030911,-84.3756072011837,Wakulla,2
579,30.6184688539544,-86.1715163112921,Walton,2
1514,37.9234188175918,-121.951212462567,Contra Costa,14
1515,37.537991268611,-77.4058133181283,Henrico,52
1516,39.3128120244193,-86.8376515368866,Owen,48
1517,41.1514802793145,-73.7533909080013,Westchester,38
1518,37.3221907275775,-90.0259472029528,Bollinger,45
1519,37.3785013205727,-81.6535837814889,McDowell,1
1520,39.2835296966737,-80.3798749744231,Harrison,1
1521,36.3040241208187,-78.6530219850909,Granville,9
1522,41.3488225502739,-72.8998597075879,New Haven,11
1523,42.264374620965,-97.6012905226442,Pierce,18
1524,32.4344414411826,-83.3278388282278,Bleckley,22
1525,33.0611534865238,-82.0007811250799,Burke,22
1526,37.4712282358854,-89.2550878566547,Union,3
1527,41.1377046863894,-87.861798272114,Kankakee,3
1528,46.111793686297,-99.4412043278016,McIntosh,33
1529,41.5712867694969,-97.5211569987864,Platte,18
1,41.9164028167059,-96.7874004205923,Cuming,18
2,46.2912488938994,-123.43316355035,Wahkiakum,20
3,34.3423873336313,-104.411999907394,De Baca,13
4,40.7841738687811,-96.6877552413673,Lancaster,18
5,40.1763796342413,-98.0471849924036,Nuckolls,18
6,18.1875265562353,-65.8693173741472,Las Piedras,49
7,43.6741776957812,-96.791437498831,Minnehaha,50
8,30.8897823871925,-99.8206351208776,Menard,26
9,39.5804001009677,-120.515996386224,Sierra,14
10,36.727481635866,-85.1360135638346,Clinton,34
11,41.0019352470988,-83.6665358163553,Hancock,25
12,33.2690858861983,-85.8605470594419,Clay,23
13,40.6822629676506,-80.3492872611798,Beaver,19
14,32.0191127382577,-89.1188598245751,Jasper,44
15,38.3851630202789,-93.7927500210259,Henry,45
16,38.080552755058,-106.281555563396,Saguache,27
17,35.7025799977725,-79.255348941789,Chatham,9
18,41.6323243662167,-111.244449544114,Rich,24
19,35.8839278621708,-94.6586792118038,Adair,29
20,41.9103520853588,-81.250939234726,Lake,25
21,37.2864088756052,-80.0553882645953,Salem,52
22,37.1742458874737,-80.3869940851614,Montgomery,52
23,35.1808553051756,-85.1647898809933,Hamilton,30
24,32.6131555654541,-105.741682566973,Otero,13
25,33.9153323526399,-108.40473046802,Catron,13
26,32.2476134218462,-87.7895192845523,Marengo,23
27,42.2640424329208,-110.655974278949,Lincoln,31
28,37.5023006291144,-94.3471107708901,Barton,45
29,28.4391092432848,-96.6150736937531,Calhoun,26
30,32.8318961746986,-92.3748182247825,Union,21
31,35.4953513537719,-94.7552378888716,Sequoyah,29
32,34.4597728191605,-85.8041414488744,DeKalb,23
33,42.2678090726489,-77.383803260633,Steuben,38
34,41.5130724371797,-79.2360118446624,Forest,19
35,30.6266531988245,-90.4056803848566,Tangipahoa,21
36,38.4206997556693,-77.4574284085175,Stafford,52
37,45.525140577772,-87.5096948515371,Menominee,42
38,41.022997155111,-87.1161200745632,Jasper,48
39,31.1968760634715,-81.9818952648645,Brantley,22
40,41.6438677859706,-85.0007650574864,Steuben,48
41,30.1213082998956,-93.8938981061933,Orange,26
42,30.0614838059408,-99.3501597612496,Kerr,26
43,38.0796491342813,-86.6380317975873,Perry,48
44,34.4904742074181,-89.0038569338379,Union,44
45,42.899684865973,-98.7664619222424,Boyd,18
46,45.9380486923111,-93.6300874069869,Mille Lacs,4
47,48.3694617136683,-97.7213717788819,Walsh,33
48,39.6203727338451,-81.8526615394673,Morgan,25
49,41.1676828958104,-81.1974036108402,Portage,25
50,41.2875605358037,-110.547594496509,Uinta,31
51,41.4068424414041,-118.111968146329,Humboldt,39
52,27.0433971299427,-98.6973050703765,Jim Hogg,26
53,38.8279397243427,-102.603395811939,Cheyenne,27
54,45.1881429945282,-122.220946805989,Clackamas,17
55,34.4858432217612,-94.2280693261016,Polk,43
56,32.3583892602971,-84.0424796302027,Macon,22
57,40.6062584625753,-87.310906016728,Benton,48
58,36.1350244091144,-84.649203742733,Morgan,30
59,43.3869244130884,-98.3660986075199,Douglas,50
60,38.2165007073208,-75.2966693294214,Worcester,5
61,38.4460655479893,-87.8442504223467,Wabash,3
62,40.8292399586534,-85.4881722762987,Huntington,48
63,38.291555654689,-84.5839266048845,Scott,34
64,40.7376826869524,-93.7862814994565,Decatur,54
65,28.4225360480988,-99.7567260229003,Dimmit,26
66,43.6739971846239,-92.0901672915974,Fillmore,4
67,34.6920572771883,-81.1595312333077,Chester,28
68,44.9954869275089,-96.1734786910907,Lac qui Parle,4
69,41.7223685563313,-111.743563204481,Cache,24
