,lat,lon,yld,yld_ordinal,elevation,mukey,soil
72,41.25002213043478,-97.14781307246376,168.64476395490112,3.0,1624.0157,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
73,41.25002213043478,-97.14772560869565,167.1789818665427,3.0,1623.3596,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
74,41.25002213043478,-97.14763814492754,167.4821573954488,3.0,1624.0157,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
75,41.25002213043478,-97.14755068115942,167.1959550667679,3.0,1624.3438,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
76,41.25002213043478,-97.1474632173913,166.06023119511553,3.0,1624.3438,1691277,"Fillmore silt loam, occasionally ponded"
77,41.25002213043478,-97.14737575362318,164.02095901504936,2.0,1624.3438,1691277,"Fillmore silt loam, occasionally ponded"
78,41.25002213043478,-97.14728828985507,161.16602319804116,2.0,1625.9843,1691277,"Fillmore silt loam, occasionally ponded"
79,41.25002213043478,-97.14720082608696,157.99646237867773,2.0,1625.9843,1691277,"Fillmore silt loam, occasionally ponded"
80,41.25002213043478,-97.14711336231883,156.32179841326123,1.0,1625.9843,1691277,"Fillmore silt loam, occasionally ponded"
81,41.25002213043478,-97.14702589855072,157.80327716959908,2.0,1625.9843,1691277,"Fillmore silt loam, occasionally ponded"
82,41.25002213043478,-97.14693843478261,159.94148502618145,2.0,1625.9843,1691277,"Fillmore silt loam, occasionally ponded"
83,41.25002213043478,-97.14685097101449,160.90846059513416,2.0,1625.9843,1691277,"Fillmore silt loam, occasionally ponded"
84,41.25002213043478,-97.14676350724638,159.2942511680629,2.0,1625.9843,1691277,"Fillmore silt loam, occasionally ponded"
85,41.25002213043478,-97.14667604347827,156.98646105983417,2.0,1625.0,1691277,"Fillmore silt loam, occasionally ponded"
86,41.25002213043478,-97.14658857971014,154.14542254760767,1.0,1625.0,1691277,"Fillmore silt loam, occasionally ponded"
87,41.25002213043478,-97.14650111594203,152.14213320960852,1.0,1624.0157,1691277,"Fillmore silt loam, occasionally ponded"
88,41.25002213043478,-97.1464136521739,152.609371854003,1.0,1624.3438,1691277,"Fillmore silt loam, occasionally ponded"
89,41.25002213043478,-97.1463261884058,153.17200137897066,1.0,1624.6719,1691277,"Fillmore silt loam, occasionally ponded"
90,41.25002213043478,-97.14623872463768,153.74223147994962,1.0,1624.6719,1691277,"Fillmore silt loam, occasionally ponded"
91,41.25002213043478,-97.14615126086956,154.26982800681284,1.0,1624.6719,1691277,"Fillmore silt loam, occasionally ponded"
92,41.25002213043478,-97.14606379710145,154.1992449852838,1.0,1624.6719,1691277,"Fillmore silt loam, occasionally ponded"
93,41.25002213043478,-97.14597633333334,153.68775032106257,1.0,1624.6719,1691277,"Fillmore silt loam, occasionally ponded"
94,41.25002213043478,-97.14588886956521,153.71027068848306,1.0,1624.6719,1691277,"Fillmore silt loam, occasionally ponded"
95,41.25002213043478,-97.1458014057971,152.99303161496047,1.0,1624.6719,1691277,"Fillmore silt loam, occasionally ponded"
96,41.25002213043478,-97.14571394202899,153.13854552494504,1.0,1624.6719,1691277,"Fillmore silt loam, occasionally ponded"
97,41.25002213043478,-97.14562647826087,153.33097324846176,1.0,1624.6719,1691277,"Fillmore silt loam, occasionally ponded"
98,41.25002213043478,-97.14553901449275,155.10238782233085,1.0,1624.3438,1691277,"Fillmore silt loam, occasionally ponded"
99,41.25002213043478,-97.14545155072463,157.35335973027676,2.0,1624.3438,1691277,"Fillmore silt loam, occasionally ponded"
100,41.25002213043478,-97.14536408695652,161.9977343057253,2.0,1624.3438,1691277,"Fillmore silt loam, occasionally ponded"
101,41.25002213043478,-97.14527662318841,166.5448326055342,3.0,1624.3438,1691277,"Fillmore silt loam, occasionally ponded"
102,41.25002213043478,-97.14518915942028,170.18642498081155,3.0,1624.3438,1691277,"Fillmore silt loam, occasionally ponded"
103,41.25002213043478,-97.14510169565217,172.67697486739667,3.0,1624.3438,1691283,"Hastings silt loam, 1 to 3 percent slopes"
104,41.25002213043478,-97.14501423188406,174.56187730645053,3.0,1624.3438,1691283,"Hastings silt loam, 1 to 3 percent slopes"
105,41.25002213043478,-97.14492676811594,175.34449925622027,3.0,1624.3438,1691283,"Hastings silt loam, 1 to 3 percent slopes"
106,41.25002213043478,-97.14483930434783,176.2481269649617,4.0,1624.3438,1691283,"Hastings silt loam, 1 to 3 percent slopes"
107,41.25002213043478,-97.14475184057972,176.67741014753662,4.0,1624.3438,1691283,"Hastings silt loam, 1 to 3 percent slopes"
108,41.25002213043478,-97.14466437681159,177.92010147826494,4.0,1624.6719,1691283,"Hastings silt loam, 1 to 3 percent slopes"
109,41.25002213043478,-97.14457691304348,179.143952307821,4.0,1624.6719,1691283,"Hastings silt loam, 1 to 3 percent slopes"
110,41.25002213043478,-97.14448944927537,180.07242621200595,4.0,1624.6719,1691283,"Hastings silt loam, 1 to 3 percent slopes"
142,41.250097260869566,-97.14781307246376,172.1901587073866,3.0,1628.9370000000001,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
143,41.250097260869566,-97.14772560869565,172.04117505054774,3.0,1623.6877,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
144,41.250097260869566,-97.14763814492754,172.24540536372794,3.0,1624.0157,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
145,41.250097260869566,-97.14755068115942,172.11591132663742,3.0,1624.3438,1691277,"Fillmore silt loam, occasionally ponded"
146,41.250097260869566,-97.1474632173913,170.9874439078027,3.0,1624.0157,1691277,"Fillmore silt loam, occasionally ponded"
